GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
grievance,com.gms.demo.payloads,MemberDto,29,119,0,0,9,31,1,17,1,17
grievance,com.gms.demo.payloads,CommentDto,257,0,46,0,64,0,37,0,14,0
grievance,com.gms.demo.payloads,TicketDto,363,0,70,0,97,0,56,0,21,0
grievance,com.gms.demo.payloads,MemberLoginDto,56,43,10,0,11,13,8,7,3,7
grievance,com.gms.demo.payloads,ApiResponse,72,0,10,0,19,0,12,0,7,0
grievance,com.gms.demo.payloads,DepartmentDto,119,0,22,0,31,0,19,0,8,0
grievance,com.gms.demo,GmsApplication,5,7,0,0,2,2,1,2,1,2
grievance,com.gms.demo.entity,Comment,167,3,16,0,36,2,22,1,14,1
grievance,com.gms.demo.entity,Department,84,78,7,7,16,17,17,3,10,3
grievance,com.gms.demo.entity,Member,29,119,0,0,9,31,1,17,1,17
grievance,com.gms.demo.entity,Ticket,127,46,0,0,31,15,21,2,21,2
grievance,com.gms.demo.entity,Status,0,34,0,0,0,4,0,1,0,1
grievance,com.gms.demo.entity,Role,0,24,0,0,0,2,0,1,0,1
grievance,com.gms.demo.entity,TicketType,0,34,0,0,0,3,0,1,0,1
grievance,com.gms.demo.exception,ResourceNotFoundException,30,0,0,0,5,0,1,0,1,0
grievance,com.gms.demo.exception,GlobalException,58,3,0,0,16,1,4,1,4,1
grievance,com.gms.demo.serviceimpl,MemberServiceImpl,9,61,5,5,2,13,6,3,1,3
grievance,com.gms.demo.controller,MemberController,5,44,1,3,1,11,1,4,0,3
